FREKVENS,90420332,265,Bar furniture,        Bar table/ in/outdoor/          51x51 cm,Nicholai Wiig Hansen,99,51
NORDVIKEN,368814,995,Bar furniture,        Bar table/          140x80 cm,Francis Cayouette,105,80
NORDVIKEN / NORDVIKEN,9333523,2095,Bar furniture,        Bar table and 4 bar stools,Francis Cayouette,,
STIG,80155205,69,Bar furniture,        Bar stool with backrest/          74 cm,Henrik Preutz,100,60
NORBERG,30180504,225,Bar furniture,        Wall-mounted drop-leaf table/          74x60 cm,Marcus Arvonen,43,74
INGOLF,10122647,345,Bar furniture,        Bar stool with backrest/          63 cm,Carina Bengs,91,40
FRANKLIN,70404875,129,Bar furniture,        Bar stool with backrest/ foldable/          63 cm,K Hagberg/M Hagberg,95,50
DALFRED,60155602,195,Bar furniture,        Bar stool/          63-74 cm,Sarah Fager,,50
EKEDALEN / EKEDALEN,69304221,2176,Bar furniture,        Bar table and 4 bar stools,Ehlén Johansson,,
NORRARYD,397736,395,Bar furniture,        Bar stool with backrest/          74 cm,Nike Karlsson,103,46
EKEDALEN,400550,345,Bar furniture,        Bar stool with backrest/          75 cm,Ehlén Johansson,114,43
TOMMARYD,29304826,695,Bar furniture,        Table/          130x70/105 cm,Maja Ganszyniec,105,70
HENRIKSDAL,40426138,395,Bar furniture,        Bar stool with backrest frame/          74 cm,Karl Malmvall,102,40
KULLABERG,50363649,140,Bar furniture,        Stool,Sarah Fager,,36
JANINGE,70246089,595,Bar furniture,        Bar stool/          76 cm,John/Jonas/Petrus/Paul/Caroline,84,38
RÅSKOG,30352246,175,Bar furniture,        Bar stool/          63 cm,Nike Karlsson,63,44
STENSELE / NORRARYD,29297227,1340,Bar furniture,        Bar table and 2 bar stools,Nike Karlsson/Maja Ganszyniec,,
STENSELE,99323925,550,Bar furniture,        Bar table/          70x70 cm,Maja Ganszyniec,104,70
NORRÅKER,40339004,595,Bar furniture,        Bar table/          74x74 cm,J Karlsson/N Karlsson,102,74
NORRÅKER / NORRÅKER,19297275,1266,Bar furniture,        Bar table and 2 bar stools/          74 cm,J Karlsson/N Karlsson,,
YNGVAR,60400745,475,Bar furniture,        Bar stool/          75 cm,IKEA of Sweden,,40
NORRÅKER / NORRARYD,89280380,1385,Bar furniture,        Bar table and 2 bar stools/          74 cm,Nike Karlsson/J Karlsson/N Karlsson,104,74
BERNHARD,272656,745,Bar furniture,        Bar stool with backrest/          66 cm,Ola Wihlborg,90,48
GLENN,30135658,445,Bar furniture,        Bar stool/          77 cm,Marcus Arvonen,100,50
MINNEN,29123958,395,Beds,        Ext bed frame with slatted bed base/          80x200 cm,IKEA of Sweden/Tina Christensen,,85
BRIMNES,49278341,895,Beds,        Bed frame w storage and headboard/          90x200 cm,IKEA of Sweden/K Hagberg/M Hagberg,110,96
SMÅGÖRA,50461230,595,Beds,        Cot/          60x120 cm,IKEA of Sweden,79,66
